[2025-08-06 22:39:51.339] INFO     src.core.context_manager | SQLite context provider initialized | db_path=data/hybrid_system.db using_config=True operation=__init__ hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.488] INFO     llm_provider.factory | Attempting to create provider: llm_fast_premium | hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.489] INFO     llm_provider.gemini-2.5-flash | Initializing LLM provider | model_name=gemini-2.5-flash model_type=gemini is_local=False hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.512] INFO     llm_provider.gemini-2.5-flash | LLM provider initialized successfully | model_name=gemini-2.5-flash hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.512] INFO     llm_provider.factory | Successfully created provider: llm_fast_premium | hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.512] INFO     src.nodes.context_manager_agent | Context Manager Agent LLM provider initialized | operation=initialize_llm_provider model_name=gemini-2.5-flash model_type=gemini preferred_model=llm_fast_premium hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.513] INFO     src.nodes.context_manager_agent | Context cache initialized - enabled: True, duration: 15min | hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.666] INFO     llm_provider.factory | Attempting to create provider: llm_demo_speed | hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.667] INFO     llm_provider.gemini-2.5-flash | Initializing LLM provider | model_name=gemini-2.5-flash model_type=gemini is_local=False hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.668] INFO     llm_provider.gemini-2.5-flash | LLM provider initialized successfully | model_name=gemini-2.5-flash hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.669] INFO     llm_provider.factory | Successfully created provider: llm_demo_speed | hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.669] INFO     src.nodes.chatbot_agent | Chatbot Agent LLM provider initialized | operation=initialize_llm_provider model_name=gemini-2.5-flash model_type=gemini preferred_model=llm_demo_speed fallback_models=[] hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.773] INFO     llm_provider.factory | Attempting to create provider: llm_demo_speed | hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.773] INFO     llm_provider.gemini-2.5-flash | Initializing LLM provider | model_name=gemini-2.5-flash model_type=gemini is_local=False hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.774] INFO     llm_provider.gemini-2.5-flash | LLM provider initialized successfully | model_name=gemini-2.5-flash hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.775] INFO     llm_provider.factory | Successfully created provider: llm_demo_speed | hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.775] INFO     src.nodes.frustration_agent | Frustration Agent LLM provider initialized | operation=initialize_llm_provider model_name=gemini-2.5-flash model_type=gemini preferred_model=llm_demo_speed hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.890] INFO     llm_provider.factory | Attempting to create provider: llm_demo_speed | hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.891] INFO     llm_provider.gemini-2.5-flash | Initializing LLM provider | model_name=gemini-2.5-flash model_type=gemini is_local=False hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.893] INFO     llm_provider.gemini-2.5-flash | LLM provider initialized successfully | model_name=gemini-2.5-flash hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.893] INFO     llm_provider.factory | Successfully created provider: llm_demo_speed | hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.893] INFO     src.nodes.quality_agent | Quality Agent LLM provider initialized | operation=initialize_llm_provider model_name=gemini-2.5-flash model_type=gemini preferred_model=llm_demo_speed hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.996] INFO     llm_provider.factory | Attempting to create provider: llm_fast_premium | hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.998] INFO     llm_provider.gemini-2.5-flash | Initializing LLM provider | model_name=gemini-2.5-flash model_type=gemini is_local=False hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.999] INFO     llm_provider.gemini-2.5-flash | LLM provider initialized successfully | model_name=gemini-2.5-flash hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:51.999] INFO     llm_provider.factory | Successfully created provider: llm_fast_premium | hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:52.000] INFO     src.nodes.human_routing_agent | Routing Agent LLM provider initialized | operation=initialize_llm_provider model_name=gemini-2.5-flash model_type=gemini preferred_model=llm_fast_premium hostname=67d0692e5e7b pid=701
[2025-08-06 22:39:52.006] INFO     __main__ | HITL system initialized successfully | hostname=67d0692e5e7b pid=701
