conversation_id,turn_number,customer_type,complexity,frustration_score,frustration_level,frustration_confidence,frustration_intervention_needed,escalation_trend,contributing_factors,current_query_score,pattern_score,customer_query
1,1,frustrated,medium,3.5,moderate,0.6,False,none,strong_negative_sentiment,5.0,0.0,Why did my premium increase by $200? This is ridiculous - I haven't had any claims!
1,2,frustrated,medium,3.8499999999999996,moderate,0.6,False,none,escalation_language,5.5,0.0,"""ARE YOU KIDDING ME?! I DON'T HAVE TIME FOR THIS NONSENSE! I JUST WANT TO KNOW WHY MY PREMIUM INCREASED BY $200, AND I EXPECT A FAIR AND ACCOUNTABLE EXPLANATION, NOT MORE QUESTIONS AND INQUIRIES! WHEN CAN I EXPECT A COMPLETE RESOLUTION TO THIS ISSUE?!"""
1,3,frustrated,medium,2.4499999999999997,low,0.5,False,none,,3.5,0.0,This isn't working. I need to speak to someone who can actually help me!
1,4,frustrated,medium,5.25,moderate,0.6,False,none,high_frustration_language; strong_negative_sentiment,7.5,0.0,"""ARE YOU KIDDING ME?! I DON'T HAVE TIME FOR THIS NONSENSE! JUST TELL ME WHY MY PREMIUM INCREASED BY $200, BECAUSE IT'S RIDICULOUS AND UNACCEPTABLE! I HAVEN'T MADE ANY CLAIMS, SO DON'T GIVE ME THIS BULLSHIT ABOUT NEEDING MORE INFORMATION. JUST FIX THIS PROBLEM NOW!"""
2,1,urgent,simple,1.575,low,0.6,False,none,,2.25,0.0,I just had a car accident. What do I need to do right now?
2,2,urgent,simple,0.7,low,0.5,False,none,,1.0,0.0,"""Oh no, thank you for asking! The accident happened on the way to work, right outside my office building. I'm just glad no one was seriously hurt, but my car is pretty damaged. Do I need to file a police report or something?"""
2,3,urgent,simple,1.2249999999999999,low,0.6,False,none,,1.75,0.0,"""Thank you for your help! I just wanted to confirm, do I need to file a police report immediately after the accident or can I wait until later? And also, how long will it take for my insurance provider to process my claim?"""
3,1,confused,simple,1.2249999999999999,low,0.6,False,none,,1.75,0.0,Can someone explain what a deductible is? I keep seeing this word but don't understand.
3,2,confused,simple,0.7,low,0.5,False,none,,1.0,0.0,"Oh, I see! So, the deductible is like a down payment for my insurance coverage? Like, I have to pay a certain amount of money first before my insurance kicks in? That makes sense. But what if I can't afford to pay the deductible? Can I just pay it later or...?"
4,1,normal,simple,0.35,low,0.5,False,none,,0.5,0.0,How do I add my teenage daughter to my auto policy?
5,1,frustrated,complex,3.675,moderate,0.6,False,none,escalation_language,5.25,0.0,I've been a customer for 15 years and you denied my claim? I want to speak to a supervisor immediately!
5,2,frustrated,complex,2.275,low,0.6,False,none,,3.25,0.0,"""ARE YOU KIDDING ME?! After 15 years of loyalty, you're going to deny my claim without even giving me a clear reason?! I can't believe the incompetence of your customer service. Can't you see how frustrating this is for me?! Please provide me with the specific reasons why my claim was denied and the evidence that supports those reasons, so I can at least have some clarity on what I need to do to resolve this mess."""
5,3,frustrated,complex,2.4499999999999997,low,0.5,False,none,,3.5,0.0,This isn't working. I need to speak to someone who can actually help me!
5,4,frustrated,complex,0.7,low,0.5,False,none,,1.0,0.0,Finally! Thank you for the explanation.
5,5,frustrated,complex,2.4499999999999997,low,0.5,False,none,,3.5,0.0,This isn't working. I need to speak to someone who can actually help me!
6,1,confused,medium,0.35,low,0.5,False,none,,0.5,0.0,What's the difference between comprehensive and collision coverage? I'm trying to decide what I need.
6,2,confused,medium,1.75,low,0.7,False,none,,2.5,0.0,"""Oh, I see! So comprehensive coverage protects against non-collision events like theft or natural disasters, while collision coverage pays for repairs in the event of an accident. That makes sense. But how do I know which one is right for me? Can you give me some examples or scenarios where one type of coverage might be more important than the other?"""
6,3,confused,medium,1.75,low,0.7,False,none,,2.5,0.0,"""Oh, I see! So, to clarify, comprehensive coverage is more important for protecting against non-collision events like theft or natural disasters, while collision coverage is more for accidents? And if I live in an area prone to natural disasters, I might want to prioritize comprehensive coverage? Could you explain a bit more about how the value of my car affects the cost of these types of coverage?"""
6,4,confused,medium,2.275,low,0.7,False,none,,3.25,0.0,"""I see, thank you for explaining the difference between comprehensive and collision coverage. However, I'm still a bit confused about how these types of coverage work together. Can you provide an example of how they would interact in a real-world scenario, say if my car was damaged in a flood? How would comprehensive coverage apply in that situation?"""
6,5,confused,medium,0.35,low,0.5,False,none,,0.5,0.0,"""Oh, I see! So, let me make sure I understand this correctly. If my car is damaged in a flood, comprehensive coverage will pay for repairs, but if I'm involved in an accident with another vehicle, collision coverage will cover the damage to my car's body? And what about if I'm hit by a deer while driving on the road? Will collision coverage cover that as well?"""
6,6,confused,medium,1.0499999999999998,low,0.5,False,none,,1.5,0.0,I don't think I'm understanding this correctly. Can I speak with someone who can explain this more simply?
7,1,urgent,complex,3.3249999999999997,moderate,0.6,False,none,,4.75,0.0,My house just flooded - I need emergency assistance. Does my policy cover temporary housing?
